Name,Park Code,Region,State,lat,lng,Park Website,See Observations in iNaturalist
Colonial National Historical Park,COLO,NER,VA,37.28808948,-76.63422124,https://www.nps.gov/COLO/index.htm,http://www.inaturalist.org/observations?place_id=95134&subview=grid
Congaree National Park,CONG,SER,SC,33.79684439,-80.77279206,https://www.nps.gov/CONG/index.htm,http://www.inaturalist.org/observations?place_id=53620&subview=grid
Coronado National Memorial,CORO,IMR,AZ,31.34900273,-110.2561572,https://www.nps.gov/CORO/index.htm,http://www.inaturalist.org/observations?place_id=63840&subview=grid
Cowpens National Battlefield,COWP,SER,SC,35.13160593,-81.80935401,https://www.nps.gov/COWP/index.htm,http://www.inaturalist.org/observations?place_id=95148&subview=grid
Crater Lake National Park,CRLA,PWR,OR,42.9410862,-122.1328164,https://www.nps.gov/CRLA/index.htm,http://www.inaturalist.org/observations?place_id=52923&subview=grid
Craters of the Moon National Monument,CRMO,PWR,ID,43.28286894,-113.4416201,https://www.nps.gov/CRMO/index.htm,http://www.inaturalist.org/observations?place_id=56772&subview=grid
Cumberland Gap National Historical Park,CUGA,SER,KY,36.63126384,-83.60635656,https://www.nps.gov/CUGA/index.htm,http://www.inaturalist.org/observations?place_id=95149&subview=grid
Cumberland Island National Seashore,CUIS,SER,GA,30.85852664,-81.45253385,https://www.nps.gov/CUIS/index.htm,http://www.inaturalist.org/observations?place_id=95150&subview=grid
Curecanti National Recreation Area,CURE,IMR,CO,38.46284966,-107.1673374,https://www.nps.gov/CURE/index.htm,http://www.inaturalist.org/observations?place_id=95142&subview=grid
Cuyahoga Valley National Park,CUVA,MWR,OH,41.26123633,-81.56904389,https://www.nps.gov/CUVA/index.htm,http://www.inaturalist.org/observations?place_id=72639&subview=grid
Dayton Aviation Heritage National Historical Park,DAAV,MWR,OH,39.80396752,-84.06442181,https://www.nps.gov/DAAV/index.htm,http://www.inaturalist.org/observations?place_id=95151&subview=grid
Denali National Park,DENA,AKR,AK,63.34110762,-150.7341423,https://www.nps.gov/DENA/index.htm,http://www.inaturalist.org/observations?place_id=71077&subview=grid
Devils Postpile National Monument,DEPO,PWR,CA,37.61537361,-119.0876861,https://www.nps.gov/DEPO/index.htm,http://www.inaturalist.org/observations?place_id=5232&subview=grid
De Soto National Memorial,DESO,SER,FL,27.52272611,-82.64335416,https://www.nps.gov/DESO/index.htm,http://www.inaturalist.org/observations?place_id=95156&subview=grid
Devils Tower National Monument,DETO,IMR,WY,44.59064562,-104.7156342,https://www.nps.gov/DETO/index.htm,http://www.inaturalist.org/observations?place_id=95159&subview=grid
Death Valley National Park,DEVA,PWR,CA,36.48393063,-117.1326278,https://www.nps.gov/DEVA/index.htm,http://www.inaturalist.org/observations?place_id=4504&subview=grid
Delaware Water Gap National Recreation Area,DEWA,NER,PA,41.10031635,-74.95693004,https://www.nps.gov/DEWA/index.htm,http://www.inaturalist.org/observations?place_id=72641&subview=grid
Dinosaur National Monument,DINO,IMR,CO,40.50596642,-108.9377028,https://www.nps.gov/DINO/index.htm,http://www.inaturalist.org/observations?place_id=95164&subview=grid
Dry Tortugas National Park,DRTO,SER,FL,24.64883027,-82.87179065,https://www.nps.gov/DRTO/index.htm,http://www.inaturalist.org/observations?place_id=70571&subview=grid
Ebey's Landing National Historical Reserve,EBLA,PWR,WA,48.214014,-122.6877159,https://www.nps.gov/EBLA/index.htm,http://www.inaturalist.org/observations?place_id=95166&subview=grid
Edgar Allan Poe National Historic Site,EDAL,NER,PA,39.96195482,-75.1500062,https://www.nps.gov/EDAL/index.htm,http://www.inaturalist.org/observations?place_id=95167&subview=grid
Edison National Historic Site,EDIS,NER,NJ,40.78597075,-74.23982097,https://www.nps.gov/EDIS/index.htm,http://www.inaturalist.org/observations?place_id=95141&subview=grid
Effigy Mounds National Monument,EFMO,MWR,IA,43.09145766,-91.20777104,https://www.nps.gov/EFMO/index.htm,http://www.inaturalist.org/observations?place_id=95168&subview=grid
Eisenhower National Historic Site,EISE,NER,PA,39.79577487,-77.26508102,https://www.nps.gov/EISE/index.htm,http://www.inaturalist.org/observations?place_id=95169&subview=grid
El Malpais National Monument,ELMA,IMR,NM,34.78484509,-107.977531,https://www.nps.gov/ELMA/index.htm,http://www.inaturalist.org/observations?place_id=95173&subview=grid
El Morro National Monument,ELMO,IMR,NM,35.03895884,-108.3463984,https://www.nps.gov/ELMO/index.htm,http://www.inaturalist.org/observations?place_id=95174&subview=grid
Eleanor Roosevelt National Historic Site,ELRO,NER,NY,41.76086389,-73.89687748,https://www.nps.gov/ELRO/index.htm,http://www.inaturalist.org/observations?place_id=95175&subview=grid
Eugene O'Neill National Historic Site,EUON,PWR,CA,37.82604456,-122.0271566,https://www.nps.gov/EUON/index.htm,http://www.inaturalist.org/observations?place_id=95176&subview=grid
Everglades National Park,EVER,SER,FL,25.37216762,-80.88182401,https://www.nps.gov/EVER/index.htm,http://www.inaturalist.org/observations?place_id=53957&subview=grid
Federal Hall National Memorial,FEHA,NER,NY,40.70731192,-74.01025636,https://www.nps.gov/FEHA/index.htm,http://www.inaturalist.org/observations?place_id=95165&subview=grid
Fire Island National Seashore,FIIS,NER,NY,40.69182965,-72.99435226,https://www.nps.gov/FIIS/index.htm,http://www.inaturalist.org/observations?place_id=95160&subview=grid
First Ladies National Historic Site,FILA,MWR,OH,40.79662217,-81.37593264,https://www.nps.gov/FILA/index.htm,http://www.inaturalist.org/observations?place_id=95161&subview=grid
Florissant Fossil Beds National Monument,FLFO,IMR,CO,38.91260206,-105.2803394,https://www.nps.gov/FLFO/index.htm,http://www.inaturalist.org/observations?place_id=95152&subview=grid
Flight 93 National Memorial,FLNI,NER,PA,40.06061151,-78.89457021,https://www.nps.gov/FLNI/index.htm,http://www.inaturalist.org/observations?place_id=95177&subview=grid
Fort Bowie National Historic Site,FOBO,IMR,AZ,32.14925916,-109.4511317,https://www.nps.gov/FOBO/index.htm,http://www.inaturalist.org/observations?place_id=63837&subview=grid
